date,equity,cash,portfolio_value
2024-12-27,1151500.5716178324,425175.63866337325,
2024-12-30,1152083.188173401,404010.3054786809,
2024-12-31,1131205.019361311,302654.98888383,
2025-01-02,1100820.9222343157,233995.5816754628,
2025-01-03,1083492.6287563674,132539.4358752355,
2025-01-06,1082112.5160423114,131315.72351120203,
2025-01-07,1095538.9320040895,109637.99230865859,
2025-01-08,1096958.7276926811,98161.43006468067,
2025-01-09,1098325.8154686708,73532.1079732724,
2025-01-10,1085485.9585719106,70457.92539940678,
2025-01-13,1079360.942558067,70140.58811514526,
2025-01-14,1113580.7191590832,55558.00147705671,
2025-01-15,1106647.5096438513,55174.36224639675,
2025-01-16,1110178.1577807823,55375.93241299846,
2025-01-17,1115421.1994176884,55654.98393077431,
2025-01-20,1119063.1097642449,55835.708383119316,
2025-01-21,1123784.932464852,56088.47523618754,
2025-01-22,1116946.5514637944,55764.84134967542,
2025-01-23,1115421.1293066682,55653.47673938832,
2025-01-24,1129423.1561984217,56352.68133642273,
2025-01-27,1117652.6543429256,55778.30605408724,
2025-02-05,1119175.4010817222,55839.69936114953,
2025-02-06,1135504.395807949,56602.556353076885,
2025-02-07,1146788.0087457849,601921.6774257679,
2025-02-10,1149609.7504203678,603510.8066751768,
2025-02-11,1148120.1652608789,602733.8271263391,
2025-02-12,1154342.3823055886,605997.5154213562,
2025-02-13,1145579.6086642877,601402.5196038756,
2025-02-14,1152081.6207223465,604828.3941735391,547253.2265488073
2025-02-17,1154172.2162399564,605908.1208897657,548264.0953501908
2025-02-18,1147318.101674983,602309.5407382834,545008.5609366996
2025-02-19,1154883.990591168,606281.9562038957,548602.0343872723
2025-02-20,1155262.4003734766,606480.8187517573,548781.5816217192
2025-02-21,1169058.6928545951,613729.0277562507,555329.6650983444
2025-02-24,1166656.7044301075,612472.0285233873,554184.6759067201
2025-02-25,1160306.652994732,609144.1264372274,551162.5265575044
2025-02-26,1164574.5810528432,611379.8592357145,553194.7218171287
2025-02-27,1160192.4113852598,609075.8009779018,551116.610407358
2025-02-28,1141486.7553993315,599252.8380013219,542233.9173980097
2025-03-03,1139980.3103876011,598457.7327779947,541522.5776096063
2025-03-04,1141240.3817164716,599125.0006848796,542115.3810315919
2025-03-05,1144938.8652303969,601061.4285205205,543877.4367098764
2025-03-06,1153393.9433851754,605489.5486729516,547904.3947122237
2025-03-07,1152127.9991525593,57296.31557243026,1094831.683580129
2025-03-10,1147226.1899384635,57267.536956869444,1089958.652981594
2025-03-11,1149430.984105132,57351.332876713044,1092079.651228419
2025-03-12,1143716.421895869,57084.58608020244,1086631.8358156667
2025-03-13,1133893.5833706718,56609.45631020075,1077284.127060471
2025-03-14,1153492.3132734539,57596.86477723112,1095895.4484962227
