open,high,low,close,volume,eob
1.245848,1.250462,1.23662,1.241234,102860412,2011-07-22 00:00:00+08:00
1.23662,1.241234,1.213549,1.218163,134785804,2011-07-25 00:00:00+08:00
1.218163,1.232005,1.213549,1.222777,149280144,2011-07-26 00:00:00+08:00
1.218163,1.227391,1.213549,1.222777,73722265,2011-07-27 00:00:00+08:00
1.218163,1.222777,1.213549,1.218163,58993545,2011-07-28 00:00:00+08:00
1.218163,1.255077,1.213549,1.23662,134114067,2011-07-29 00:00:00+08:00
1.232005,1.245848,1.222777,1.23662,57426465,2011-08-01 00:00:00+08:00
1.227391,1.232005,1.218163,1.222777,33675014,2011-08-02 00:00:00+08:00
1.218163,1.232005,1.213549,1.232005,96388135,2011-08-03 00:00:00+08:00
1.232005,1.232005,1.222777,1.227391,23902908,2011-08-04 00:00:00+08:00
1.213549,1.218163,1.20432,1.208934,83635466,2011-08-05 00:00:00+08:00
1.20432,1.208934,1.185863,1.190477,134383131,2011-08-08 00:00:00+08:00
1.176634,1.195091,1.167406,1.195091,139385365,2011-08-09 00:00:00+08:00
1.20432,1.208934,1.185863,1.195091,131527658,2011-08-10 00:00:00+08:00
1.176634,1.213549,1.17202,1.208934,130443633,2011-08-11 00:00:00+08:00
1.213549,1.213549,1.199706,1.208934,90820763,2011-08-12 00:00:00+08:00
1.208934,1.222777,1.195091,1.218163,144515949,2011-08-15 00:00:00+08:00
1.218163,1.227391,1.208934,1.213549,87528569,2011-08-16 00:00:00+08:00
1.208934,1.222777,1.208934,1.213549,59964976,2011-08-17 00:00:00+08:00
1.213549,1.218163,1.190477,1.195091,82376013,2011-08-18 00:00:00+08:00
1.176634,1.195091,1.17202,1.185863,86512040,2011-08-19 00:00:00+08:00
1.185863,1.195091,1.181249,1.185863,64927425,2011-08-22 00:00:00+08:00
1.190477,1.199706,1.181249,1.199706,49217214,2011-08-23 00:00:00+08:00
1.199706,1.20432,1.190477,1.190477,45265590,2011-08-24 00:00:00+08:00
1.195091,1.227391,1.195091,1.218163,211875661,2011-08-25 00:00:00+08:00
1.218163,1.222777,1.199706,1.208934,134682577,2011-08-26 00:00:00+08:00
1.20432,1.20432,1.190477,1.199706,113925870,2011-08-29 00:00:00+08:00
1.20432,1.218163,1.195091,1.199706,147188366,2011-08-30 00:00:00+08:00
1.195091,1.20432,1.190477,1.20432,89444724,2011-08-31 00:00:00+08:00
1.199706,1.208934,1.195091,1.199706,56096452,2011-09-01 00:00:00+08:00
1.195091,1.199706,1.185863,1.190477,70232786,2011-09-02 00:00:00+08:00
1.185863,1.190477,1.176634,1.176634,115272789,2011-09-05 00:00:00+08:00
1.176634,1.181249,1.167406,1.181249,113208803,2011-09-06 00:00:00+08:00
1.181249,1.195091,1.176634,1.190477,104233254,2011-09-07 00:00:00+08:00
1.190477,1.195091,1.185863,1.190477,53784020,2011-09-08 00:00:00+08:00
1.190477,1.199706,1.185863,1.190477,67459075,2011-09-09 00:00:00+08:00
1.181249,1.190477,1.176634,1.185863,54968842,2011-09-13 00:00:00+08:00
1.185863,1.190477,1.167406,1.181249,113628346,2011-09-14 00:00:00+08:00
1.176634,1.181249,1.17202,1.17202,90680229,2011-09-15 00:00:00+08:00
1.176634,1.181249,1.17202,1.176634,82412915,2011-09-16 00:00:00+08:00
1.17202,1.176634,1.158177,1.162792,94923091,2011-09-19 00:00:00+08:00
1.162792,1.17202,1.158177,1.167406,54731290,2011-09-20 00:00:00+08:00
1.167406,1.190477,1.162792,1.181249,141000552,2011-09-21 00:00:00+08:00
1.17202,1.181249,1.158177,1.162792,102458078,2011-09-22 00:00:00+08:00
1.153563,1.158177,1.13972,1.158177,161772730,2011-09-23 00:00:00+08:00
1.153563,1.158177,1.135106,1.144335,83000210,2011-09-26 00:00:00+08:00
1.148949,1.153563,1.135106,1.144335,94188726,2011-09-27 00:00:00+08:00
1.148949,1.153563,1.130492,1.13972,84269434,2011-09-28 00:00:00+08:00
1.135106,1.13972,1.125878,1.135106,75190040,2011-09-29 00:00:00+08:00
1.135106,1.144335,1.125878,1.135106,130944175,2011-09-30 00:00:00+08:00
1.130492,1.144335,1.121263,1.13972,111113139,2011-10-10 00:00:00+08:00
1.176634,1.190477,1.153563,1.162792,214753056,2011-10-11 00:00:00+08:00
1.158177,1.199706,1.153563,1.190477,299782688,2011-10-12 00:00:00+08:00
1.185863,1.199706,1.17202,1.195091,151881829,2011-10-13 00:00:00+08:00
1.185863,1.20432,1.17202,1.199706,165999875,2011-10-14 00:00:00+08:00
1.195091,1.20432,1.190477,1.20432,129111710,2011-10-17 00:00:00+08:00
1.190477,1.213549,1.181249,1.208934,216712374,2011-10-18 00:00:00+08:00
1.199706,1.20432,1.195091,1.195091,77799164,2011-10-19 00:00:00+08:00
1.190477,1.195091,1.17202,1.176634,75762719,2011-10-20 00:00:00+08:00
1.181249,1.195091,1.17202,1.190477,76512113,2011-10-21 00:00:00+08:00
1.190477,1.222777,1.190477,1.213549,179725146,2011-10-24 00:00:00+08:00
1.213549,1.232005,1.208934,1.227391,142416917,2011-10-25 00:00:00+08:00
1.222777,1.241234,1.218163,1.222777,143202895,2011-10-26 00:00:00+08:00
1.227391,1.23662,1.222777,1.23662,96478613,2011-10-27 00:00:00+08:00
1.241234,1.255077,1.232005,1.23662,188242367,2011-10-28 00:00:00+08:00
1.23662,1.245848,1.232005,1.23662,95929904,2011-10-31 00:00:00+08:00
1.227391,1.241234,1.218163,1.232005,94303176,2011-11-01 00:00:00+08:00
1.218163,1.23662,1.213549,1.23662,86583329,2011-11-02 00:00:00+08:00
1.23662,1.23662,1.222777,1.227391,168736545,2011-11-03 00:00:00+08:00
1.232005,1.23662,1.222777,1.232005,123715707,2011-11-04 00:00:00+08:00
1.227391,1.232005,1.213549,1.218163,57665749,2011-11-07 00:00:00+08:00
1.218163,1.222777,1.208934,1.218163,69175903,2011-11-08 00:00:00+08:00
1.218163,1.232005,1.213549,1.227391,90277224,2011-11-09 00:00:00+08:00
1.218163,1.222777,1.208934,1.213549,71983594,2011-11-10 00:00:00+08:00
1.208934,1.222777,1.208934,1.222777,48040029,2011-11-11 00:00:00+08:00
1.222777,1.23662,1.218163,1.227391,93231495,2011-11-14 00:00:00+08:00
1.227391,1.227391,1.208934,1.218163,62708012,2011-11-15 00:00:00+08:00
1.218163,1.218163,1.190477,1.195091,73819136,2011-11-16 00:00:00+08:00
1.195091,1.199706,1.190477,1.195091,32704233,2011-11-17 00:00:00+08:00
1.190477,1.195091,1.176634,1.176634,50680352,2011-11-18 00:00:00+08:00
1.181249,1.181249,1.167406,1.17202,28932644,2011-11-21 00:00:00+08:00
1.167406,1.176634,1.162792,1.17202,31302508,2011-11-22 00:00:00+08:00
1.176634,1.181249,1.167406,1.181249,48604369,2011-11-23 00:00:00+08:00
1.17202,1.190477,1.167406,1.185863,47586261,2011-11-24 00:00:00+08:00
1.181249,1.185863,1.167406,1.17202,27175679,2011-11-25 00:00:00+08:00
1.167406,1.181249,1.167406,1.176634,24454148,2011-11-28 00:00:00+08:00
1.181249,1.190477,1.176634,1.185863,41291475,2011-11-29 00:00:00+08:00
1.185863,1.190477,1.167406,1.17202,68929752,2011-11-30 00:00:00+08:00
1.190477,1.213549,1.181249,1.199706,115558319,2011-12-01 00:00:00+08:00
1.190477,1.195091,1.176634,1.190477,44245054,2011-12-02 00:00:00+08:00
1.190477,1.199706,1.185863,1.199706,67092920,2011-12-05 00:00:00+08:00
1.195091,1.199706,1.176634,1.181249,46944501,2011-12-06 00:00:00+08:00
1.176634,1.190477,1.176634,1.185863,26414722,2011-12-07 00:00:00+08:00
1.185863,1.195091,1.176634,1.190477,40819536,2011-12-08 00:00:00+08:00
1.185863,1.199706,1.185863,1.195091,43889359,2011-12-09 00:00:00+08:00
1.195091,1.199706,1.185863,1.185863,23646341,2011-12-12 00:00:00+08:00
1.185863,1.195091,1.167406,1.17202,72010616,2011-12-13 00:00:00+08:00
1.17202,1.176634,1.162792,1.17202,31752090,2011-12-14 00:00:00+08:00
1.17202,1.176634,1.158177,1.167406,44753622,2011-12-15 00:00:00+08:00
1.162792,1.190477,1.158177,1.185863,98782104,2011-12-16 00:00:00+08:00
1.176634,1.185863,1.162792,1.181249,77553658,2011-12-19 00:00:00+08:00
1.181249,1.195091,1.176634,1.190477,57551864,2011-12-20 00:00:00+08:00
1.190477,1.20432,1.185863,1.199706,110575173,2011-12-21 00:00:00+08:00
1.195091,1.208934,1.190477,1.199706,127337875,2011-12-22 00:00:00+08:00
1.195091,1.20432,1.190477,1.190477,75772729,2011-12-23 00:00:00+08:00
