date,action,code,shares,price
2024-12-09,BUY,688303,0.5054270472564326,26.5
2024-12-09,SELL,688271,0.06619710609217222,140.7937
2024-12-09,BUY,688256,0.167015629783271,539.0
2024-12-09,BUY,688223,8.270401731684672,8.67
2024-12-09,BUY,688126,3.5164273224785063,21.6
2024-12-09,SELL,688111,0.37625654298830113,311.5502
2024-12-09,BUY,688082,0.6654297294886504,109.7362
2024-12-09,BUY,688047,0.32852567223232754,153.7
2024-12-09,BUY,688041,0.22615609246189194,128.8357
2024-12-09,BUY,601800,7.918680565934039,10.35225
2024-12-09,SELL,688036,0.5368654609805219,93.75976
2024-12-09,BUY,688009,4.630262322981196,6.217133
2024-12-09,BUY,688981,0.9605143603313522,86.78
2024-12-09,BUY,603986,1.2502497977763625,83.08585
2024-12-09,BUY,603833,0.29045450069151,69.97566
2024-12-09,BUY,603799,0.8648991112253697,31.96083
2024-12-09,BUY,603369,0.25739991577943044,46.15089
2024-12-09,BUY,603296,0.1956888949608313,63.04166
2024-12-09,BUY,603288,0.5829960503195366,45.06896
2024-12-09,SELL,603259,3.419273309696912,57.53995
2024-12-09,BUY,603019,1.1895832823980683,74.66583
2024-12-09,BUY,601901,4.98108424147523,8.77145
2024-12-09,BUY,601888,0.9487007052095748,68.09357
2024-12-09,BUY,601881,3.226192563191205,15.42955
2024-12-09,BUY,601878,4.337566498154558,12.58084
2024-12-09,BUY,688012,0.18138525870995714,213.6879
2024-12-09,BUY,688008,1.00602940400546,68.37715
2024-12-09,BUY,600438,1.6112528565193855,25.74
2024-12-09,BUY,600183,141.49280812929146,21.5253
2024-12-09,BUY,002736,4.182247130081805,11.12754
2024-12-09,BUY,002709,1.7818289951530915,22.63419
2024-12-09,BUY,002600,6.982852071071477,8.737106
2024-12-09,BUY,002466,1.6399388100523709,37.3
2024-12-09,BUY,002463,81.51567732475439,37.36306
2024-12-09,BUY,002460,1.7081320265154858,39.3554
2024-12-09,BUY,002459,4.819882644093866,15.96
2024-12-09,BUY,002371,0.23223497030148899,293.9545
2024-12-09,SELL,002241,0.5328794744018239,25.60617
2024-12-09,BUY,002236,186.2998795482228,16.34824
2024-12-09,SELL,002230,0.7688997933373543,52.56821
2024-12-09,BUY,002142,0.8713442916073717,24.01964
2024-12-09,BUY,002129,6.974127646785689,9.98
2024-12-09,BUY,002049,0.8871694199014541,64.96779
2024-12-09,SELL,300014,0.8030486944455149,49.1887
2024-12-09,SELL,002027,450.26393163199964,6.59822
2024-12-09,BUY,000977,1.4886949350247818,46.75823
2024-12-09,BUY,000963,0.22615954970322605,36.92237
2024-12-09,BUY,000938,2.245726382710444,24.78725
2024-12-09,BUY,000858,0.17274159738278527,139.2753
2024-12-09,BUY,000776,2.818506742554689,16.26533
2024-12-09,BUY,000661,0.39004708480275596,104.6263
2024-12-09,BUY,000617,8.510977507486984,7.303802
2024-12-09,BUY,000568,0.1309712045327629,131.3996
2024-12-09,SELL,000425,3.070131069749152,7.907258
2024-12-09,BUY,000301,0.7133879037536985,9.46
2024-12-09,BUY,000166,9.007784360586015,5.37952
2024-12-09,BUY,000063,1.0911624183372766,30.46102
2024-12-09,BUY,000002,11.98249093853508,8.42
2024-12-09,BUY,600415,2.7379092300365073,13.80338
2024-12-09,BUY,001979,7.049534364392912,10.88153
2024-12-09,BUY,300015,2.685372125158807,14.43241
2024-12-09,SELL,002050,2.6046382130254386,25.24311
2024-12-09,BUY,300059,1.5540339175804405,27.45916
2024-12-09,BUY,300033,0.34816972425316983,326.8838
2024-12-09,SELL,600160,0.0438325597548328,22.10689
2024-12-09,BUY,600111,2.0986619097721757,22.85163
2024-12-09,SELL,600104,2.393412846050154,17.97733
2024-12-09,BUY,600061,5.660000738953556,7.786285
2024-12-09,BUY,600048,9.700277636003875,9.660002
2024-12-09,BUY,600039,1.887375530446036,7.361255
2024-12-09,BUY,600030,0.7064921375993123,30.60528
2024-12-09,SELL,600015,410.2754899051612,7.437252
2024-12-09,BUY,600010,19.496437606445397,2.03
2024-12-09,BUY,301269,0.9013903972163533,123.0814
2024-12-09,SELL,301236,1.0840631387674549,61.34452
2024-12-09,BUY,300999,1.3303060946800684,34.327
2024-12-09,BUY,300896,0.3558950378501926,202.6713
2024-12-09,SELL,300832,44.93995372918578,67.26692
2024-12-09,SELL,600176,6.123802544580428,11.78255
2024-12-09,BUY,300759,0.16433725688176537,29.35925
2024-12-09,BUY,300782,0.5051974218519355,101.7439
2024-12-09,SELL,300124,0.1147535926711356,62.12674
2024-12-09,BUY,300308,1.268784552474333,124.472
2024-12-09,BUY,300316,1.8247004081333955,33.68961
2024-12-09,BUY,300347,0.25480718080841314,65.96551
2024-12-09,BUY,300394,1.2977884083887545,74.80342
2024-12-09,SELL,300413,4.318321776524385,30.33447
2024-12-09,BUY,300122,1.4792212360018482,29.75485
2024-12-09,BUY,300433,2.097376694651132,21.23451
2024-12-09,SELL,300442,2.3154578933498726,34.65585
2024-12-09,BUY,300502,1.6116274994860618,82.52314
2024-12-09,BUY,300661,0.1464317317387227,72.4185
2024-12-09,SELL,300750,0.02733241422646593,260.5933
2024-12-09,SELL,300418,1.0679757804296983,49.94
2024-12-10,BUY,601211,0.10757927818090707,18.69974
2024-12-10,SELL,601229,1.0628032885472862,8.295057
2024-12-10,SELL,601236,1.0721668422850712,8.498552
2024-12-10,BUY,601238,4.986295912239882,9.614294
2024-12-10,BUY,601688,0.1667809630650936,18.23574
2024-12-10,SELL,601318,0.3950428241715187,53.18352
2024-12-10,SELL,601360,2.167680356372216,13.06212
2024-12-10,SELL,601336,0.5602934792448053,51.62716
2024-12-10,SELL,601377,0.09809789372269506,6.404789
2024-12-10,BUY,601390,5.026265316028855,6.384063
2024-12-10,BUY,601618,9.540495288803186,3.333551
2024-12-10,BUY,601628,0.27167817899380964,43.48891
2024-12-10,BUY,601186,2.5178986523167737,9.084019
2024-12-10,BUY,601319,2.0052251903547926,7.366992
2024-12-10,BUY,601136,1.2421325671774213,24.39169
2024-12-10,BUY,600958,0.575248786610814,10.69686
2024-12-10,SELL,601117,380.37946121800576,8.016704
2024-12-10,BUY,601111,345.16847941767804,8.89
2024-12-10,BUY,601066,0.14946514442158332,27.51635
2024-12-10,BUY,601012,1.3961516314482196,17.62
2024-12-10,SELL,600999,2.969414602225669,19.5369
2024-12-10,BUY,600918,0.15902998399269563,7.027655
2024-12-10,SELL,600887,1.8040345550561057,28.32747
2024-12-10,SELL,600600,0.09691898867619386,71.91915
2024-12-10,SELL,600588,1.0315034486330035,12.81
2024-12-10,BUY,600584,0.7603389513328551,38.3783
2024-12-10,SELL,600570,1.0897431134727356,31.74364
2024-12-10,BUY,600515,7.762235832374813,3.94
2024-12-10,BUY,600460,0.7846175400800632,27.75505
2024-12-10,SELL,601689,0.7331668493832098,54.08751
2024-12-10,BUY,601127,1.7946735747070264,132.9159
2024-12-10,SELL,601698,7.6799297903639,22.94541
2024-12-10,BUY,600438,3.1539368985326774,25.26
2024-12-10,SELL,601800,0.8069384340598731,10.45868
2024-12-10,SELL,688981,0.22664889855602155,88.0
