date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2025-09-04,bull,-0.8744283960122321,0.95,0.3,0.95,0.9501355724641022,15
2025-09-05,bull,-0.7714299891740808,0.95,0.3,0.95,0.9501883844351989,15
2025-09-08,bull,-0.718762246192215,0.95,0.3,0.95,0.9500731465253399,15
2025-09-09,bull,-0.72041942333518,0.95,0.3,0.95,0.9501895599829273,15
2025-09-10,bull,-0.7083777410519082,0.95,0.3,0.95,0.9500790617845152,15
2025-09-11,bull,-0.710447527797222,0.95,0.3,0.95,0.9500765541925436,15
2025-09-12,bull,-0.6591690825780525,0.95,0.3,0.95,0.9501346814706805,15
2025-09-15,bull,-0.6495496436449167,0.95,0.3,0.95,0.9500727606996733,15
2025-09-16,bull,-0.6515245231080672,0.95,0.3,0.95,0.9500663123313294,15
2025-09-17,bull,-0.6643345136050626,0.95,0.3,0.95,0.950123916369297,15
2025-09-18,bull,-0.6883948286628794,0.95,0.3,0.95,0.9501294713809586,15
2025-09-19,bull,-0.662170211091424,0.95,0.3,0.95,0.9500744342505238,15
2025-09-22,bull,-0.6757961590027618,0.95,0.3,0.95,0.9500757607283085,15
2025-09-23,bull,-0.6768212251894798,0.95,0.3,0.95,0.9501329124714486,15
2025-09-24,bull,-0.6768388111688844,0.95,0.3,0.95,0.950135606166869,15
2025-09-25,bull,-0.6684776156523378,0.95,0.3,0.95,0.950069303263653,15
2025-09-26,bull,-0.6702630032462887,0.95,0.3,0.95,0.9500679573785041,15
2025-09-29,bull,-0.6480592355465558,0.95,0.3,0.95,0.9501311235483695,15
2025-09-30,bull,-0.6288989103993128,0.95,0.3,0.95,0.950128226117569,15
2025-10-09,bull,-0.6358296689458451,0.95,0.3,0.95,0.9500724710519192,15
2025-10-10,bull,-0.615931321086328,0.95,0.3,0.95,0.9501908625473356,15
2025-10-13,bull,-0.5375389554869271,0.95,0.3,0.95,0.950194124011417,15
2025-10-14,bull,-0.5315054266086934,0.95,0.3,0.95,0.9501941634906877,15
2025-10-15,bull,-0.500646672668366,0.95,0.3,0.95,0.9501294287736008,15
2025-10-16,bull,-0.4768050588909839,0.95,0.3,0.95,0.950189517656472,15
2025-10-17,bull,-0.4802472678746046,0.95,0.3,0.95,0.9500728459195915,15
2025-10-20,bull,-0.3895767524096792,0.95,0.3,0.95,0.9500683602840893,15
